"Facility Name","NPDES ID","City","State","CWNS","Amount of Biosolids Generated","Management Practice Type(s)","Amount of Biosolids Managed - Land Applied","Amount of Biosolids Managed - Surface Disposal","Amount of Biosolids Managed - Incinerated","Amount of Biosolids Managed - Other Management Practice","Pathogen Class(es)"
"DUVALL STP","WAL029513","DUVALL","WA","53000335001","108.9","Land Application","108.9","","","","Class B"
"WESTERLY TOWN HALL","RIL100064","WESTERLY","RI","44000029001","545.4","Other Management Practice","","","","545.4","Not Applicable"
"BARSTOW WWTF","CAL010517","BARSTOW","CA","06006005001","1283.08","Other Management Practice","","","","2566.16","Not Applicable"
"SCOTTSVILLE STP","KYL024783","SCOTTSVILLE","KY","21000336001","649.18","Land Application, Other Management Practice","100.73","","","548.42","Class B"
"KIHEI WASTEWATER RECLAMATION FACILITY","HIL001309","KIHEI","HI","15000009003","910.77","Other Management Practice","","","","910.77","Not Applicable"
"WAILUKU-KAHULUI WASTEWATER RECLAMATION FACILITY","HIL010429","KAHULUI","HI","15000009001","1106.73","Other Management Practice","","","","1106.73","Not Applicable"
"LAHAINA WASTEWATER RECLAMATION FACILITY","HIL020184","LAHAINA","HI","15000009002","1113.41","Other Management Practice","","","","1113.41","Not Applicable"
"LOS ANGELES TERMINAL ISLAND WRP","CAL053856","SAN PEDRO","CA","06004010002","2939.43","Other Management Practice","","","","2939.43","Class A"
"BURLINGTON CITY STP","NJL024660","BURLINGTON","NJ","34007153001","334.55","Land Application","334.55","","","","Class A"
"COACHELLA AVENUE 54 WWTP","CAL104493","COACHELLA","CA","06007025001","339.57","Other Management Practice","","","","339.57","Class B"
"CAMAS STP","WAL020249","CAMAS","WA","53000145001","205.4","Other Management Practice, Land Application","29.49","","","170.91","Class A EQ, Class B"
"COLTON WRF","CAL105236","COLTON","CA","06008024001","5286.6","Land Application","5286.6","","","","Class B"
"WATER & WASTEWATER BOARD OF THE CITY OF MADISON","ALL071897","MADISON","AL","01000102001","709","Land Application","709","","","","Class B"
"ALLIANCE WATER RESOURCES","MOL104299","CAMERON","MO","29002401001","585.5","Land Application","585.5","","","","Class B"
"CORCORAN WWTP","CAL001074","CORCORAN","CA","06005246001","6","Surface Disposal","","6","","","Class A"
"TAOS, TOWN OF","NML024066","RANCHO DE TAOS","NM","35000118001","351.13","Other Management Practice","","","","351.13","Class B"
"EAST BAY MUD WWTP","CAL037702","OAKLAND","CA","06002036001","15349.31","Land Application, Other Management Practice","11821.6","","","3527.71","Class B"
"CITY OF NEW HAMPTON","IAL028525","NEW HAMPTON","IA","19000607001","67.74","Land Application","67.74","","","","Class B"
"SEWARD WWTF","NEL023876","SEWARD","NE","31002200001","48.55","Land Application","48.55","","","","Class B"
"CITY OF CARROLLTON","MOL096318","CARROLLTON","MO","29002342003","11.8","Land Application","11.8","","","","Class B"
"TOWN OF MANCHESTER","CTL100293","MANCHESTER","CT","09000770001","1488.51","Other Management Practice","","","","1488.51","Not Applicable"
"BERGEN CNTY WTP","NJL020028","EDGEWATER","NJ","34001005001","1118.52","Other Management Practice","","","","1118.52","Class A"
"BUCKLEY STP","WAL023361","BUCKLEY","WA","53000130001","89.4","Land Application","89.4","","","","Class B"
"NORTHERN MORAINE WW REC DIST","ILL031933","ISLAND LAKE","IL","17000524001","292.4","Land Application","292.4","","","","Class B"
"OTTAWA STP, CITY OF","ILL030384","OTTAWA","IL","17000052001","416.01","Other Management Practice","","","","416.01","Class B"
"OJRSA/CONEROSS CREEK WWTP","SCL033553","SENECA","SC","45000704001","509.45","Other Management Practice","","","","509.45","Not Applicable"
"WESTCHESTER CO DEPT ENV FAC","NYL108324","NEW ROCHELLE","NY","36003169007","930.33","Incineration","","","930.35","",""
"CHISHOLM CK UTILITY AUTHORITY","KSL089176","PARK CITY","KS","20000168001","1265.2","Land Application","1265.2","","","","Class B"
"KING COUNTY SOUTH WWTP","WAL029581","SEATTLE","WA","53000776001","12174.51","Land Application","12174.5","","","","Class B"
"BLYTHE RWRF","CAL000372","BLYTHE","CA","06007010001","241","Land Application","241","","","","Class A"
"SPRINGVILLE, CITY OF","UTL020834","SPRINGVILLE","UT","49000041001","872","Land Application","1078","","","","Class A"
"YUBA CITY WWTP","CAL079260","YUBA CITY","CA","06005081001","1112","Other Management Practice","","","","1112","Not Applicable"
"MOBILE AREA WATER AND SEWER SYSTEM","ALL023094","MOBILE","AL","01000108002","383.77","Land Application","383.77","","","","Class B"
"SEASIDE, CITY OF","ORL020401","SEASIDE","OR","41000252001","100.75","Land Application","100.75","","","","Class A"
"HEALDSBURG WRF","CAL025135","HEALDSBURG","CA","06001082001","384","Other Management Practice","","","","384","Class B"
"EDINBORO BORO","PAL021792","EDINBORO","PA","42006098001","105.857","Other Management Practice","","","","105.857","Class B"
"BILLERICA W W T P","MAL101711","BILLERICA","MA","25000027001","1389","Other Management Practice","","","","1389","Class A"
"ELLETTSVILLE MUNICIPAL WWTP","INL021083","ELLETTSVILLE","IN","18003200001","2599.4","Other Management Practice","","","","2599.4","Class B"
"CITY OF WASHINGTON","GAL031101","WASHINGTON","GA","13000847001","0","Land Application","","","","","Class B"
"PENN YAN (V) MUNICIPAL BOARD","NYL029726","PENN YAN","NY","36008097001","252","Land Application, Other Management Practice","104","","","953","Class A EQ, Not Applicable"
"NORWALK WPCF","CTL101249","NORWALK","CT","09001030001","3037.5","Other Management Practice","","","","3037.48","Not Applicable"
"CITY OF MILLBROOK","ALL049921","MILLBROOK","AL","01000421001","75.06","Land Application","75.06","","","","Class A EQ"
"JASPER WATERWORKS & SEWER BOARD, INC.","ALL023418","JASPER","AL","01000088001","669.5","Land Application, Other Management Practice","324.1","","","345.4","Class B"
"CITY OF LAGRANGE","GAL036951","LAGRANGE","GA","13000205006","1442.34","Land Application","1442.34","","","","Class B"
"CITY OF PUNTA GORDA WWTP","FLL118371","PUNTA GORDA","FL","12000101002","457","Land Application","457","","","","Class B"
"MANTENO WPCC, VILLAGE OF","ILL025089","MANTENO","IL","17009105001","110.01","Land Application","37.18","","","","Class B"
"PATAPSCO WWTP","MDL021601","BALTIMORE","MD","24000001002","12191.6","Other Management Practice","","","","12191.6","Not Applicable"
"TOWN OF RAMSEUR","NCL026565","RAMSEUR","NC","37007602001","0.152","Surface Disposal","","0.152","","","Class B"
"OCEAN CITY REG WASTEWATER TF","NJL035343","OCEAN CITY","NJ","34004013001","584.4","Incineration, Other Management Practice","","","475.74","108.38","Class A, Not Applicable"
"MANCHESTER-SHORTVILLE JNT SB","NYL030813","MANCHESTER","NY","36008060001","59","Other Management Practice","","","","59","Class A"
"NW AR CONSERVATION AUTHORITY","ARL050024","BENTONVILLE","AR","05000045001","753.9","Other Management Practice","","","","753.9","Not Applicable"
"SEWERAGE AGENCY OF SOUTHERN MARIN","CAL037711","MILL VALLEY","CA","06002015001","309","Other Management Practice","","","","309","Class B"
"MENDOTA STP, CITY OF","ILL023221","MENDOTA","IL","17009931001","110.66","Land Application","93.58","","","","Class B"
"FORSYTH (CITY OF) NE","GAL031801","FORSYTH","GA","13000623001","68.7801","Other Management Practice","","","","68.7801","Not Applicable"
"FORSYTH, CITY OF (SOUTH WPCP)","GAL024732","FORSYTH","GA","13000623002","26.9836","Other Management Practice","","","","26.9836","Not Applicable"
"CINNAMINSON SA","NJL024007","CINNAMINSON","NJ","34007015001","396.32","Land Application, Incineration","364.81","","31.5","","Class A"
"CITY OF LEBANON","MOL089010","LEBANON","MO","29004591001","289","Land Application","230","","","","Class B"
"GUNTERSVILLE WATER AND SEWER BOARD","ALL020150","GUNTERSVILLE","AL","01000300001","710.76","Land Application","710.76","","","","Class B"
"CHIPLEY WWTP","FLL027570","CHIPLEY","FL","12000330001","22.6","Land Application","22.6","","","","Class B"
"CARBONDALE NORTHWEST WWTP","ILL027871","CARBONDALE","IL","17000015002","200.66","Land Application","221.22","","","","Class B"
"PINE BROOK STP","NJL023728","MANALAPAN TOWNSHIP","NJ","34002114002","670","Other Management Practice","","","","670","Class B"
"OYSTER BAY SD","NYL021822","OYSTER BAY","NY","36001012001","68.3","Other Management Practice","","","","68.3","Not Applicable"
"BEARDSTOWN SD STP","ILL025135","BEARDSTOWN","IL","17007103001","188","Land Application","188","","","","Class B"
"BOROUGH OF SOUDERTON","PAL021857","SOUDERTON","PA","42000034001","114.53","Surface Disposal","","114.53","","","Class B"
"HILLSBORO STP, CITY OF","ILL029203","HILLSBORO","IL","17005322001","19.62","Other Management Practice","","","","19.62","Class B"
"CITY OF JASPER","FLL027880","JASPER","FL","12000234001","50.73","Land Application","50.7","","","","Class B"
"CAPE MAY COUNTY MUA","NJL052990","CAPE MAY CT HOUSE","NJ","34004014001","748.5","Incineration, Other Management Practice","","","595.06","152.8","Class A, Not Applicable"
"WILDWOOD/LOWER REGION WTF","NJL053007","RIO GRANDE","NJ","34004015001","936.35","Incineration, Other Management Practice","","","752.79","183.57","Class A, Not Applicable"
"FRACKVILLE AREA MUN AUTH","PAL062219","BUTLER, TOWNSHIP OF","PA","42007555001","91.12","Land Application","91.12","","","","Class B"
"WASHINGTON COUNTY","NYL183695","FORT EDWARD","NY","36005053001","104.7","Land Application, Other Management Practice","104.7","","","104.7","Class A"
"CHESHIRE WPCF","CTL100081","CHESHIRE","CT","09000250001","443","Other Management Practice","","","","443","Not Applicable"
"BEDFORD STP.","VAL022390","BEDFORD","VA","51000143002","62.62","Other Management Practice","","","","62.62","Not Applicable"
"CRANBERRY TOWNSHIP M.S.A.","PAL024571","CRANBERRY TOWNSHIP","PA","42005431001","780.76","Other Management Practice","","","","780.76","Class B"
"AMESBURY W W T P","MAL101745","AMESBURY","MA","25000101001","443.6","Land Application","443.6","","","","Class A"
"AUGUSTA, CITY OF","KSL094561","AUGUSTA","KS","20001603001","162.32","Land Application","162.31","","","","Class B"
"CITY OF MONETT","MOL021440","MONETT","MO","29003471001","287","Land Application","574","","","","Class B"
"POUGHKEEPSIE (C)","NYL026255","POUGHKEEPSIE","NY","36003019001","1281.8","Other Management Practice","","","","1281.8","Class B"
"CITY OF ROCKWELL CITY","IAL033138","ROCKWELL CITY","IA","19000743001","0","Other Management Practice","","","","","Class B"
"CLINTON MUNICIPAL WWTP","INL022608","CLINTON","IN","18000302001","74.1","Land Application","74.1","","","","Class B"
"PALMYRA STP","NJL024449","PALMYRA","NJ","34006344001","40.54","Incineration","","","40.54","",""
"PAOLA, CITY OF","KSL097616","PAOLA","KS","20000735001","82.52","Land Application","82.52","","","","Class B"
"LE ROY (V)","NYL030546","LE ROY","NY","36008006001","89.36","Other Management Practice","","","","129.21","Not Applicable"
"WOODCLIFF SEWERAGE TREATMENT","NJL029084","NORTH BERGEN","NJ","34001324003","308.67","Other Management Practice","","","","308.67","Class A"
"ALLEGHENY VALLEY JOINT SEWER A","PAL026255","CHESWICK","PA","42005065001","828","Other Management Practice","","","","444.5","Class B"
"AURORA WWTF","NEL031810","AURORA","NE","31003001001","59","Other Management Practice","","","","59","Class B"
"SAINT MARYS (CITY OF)","GAL039047","ST MARYS","GA","13000999020","375.16","Other Management Practice","","","","375.16","Class B"
"LAGRANGE WWTP","INL020478","LA GRANGE","IN","18004874001","155.6","Other Management Practice","","","","155.6","Class B"
"SOUTH CENTRAL REGIONAL WW TRT & DISPOSAL BOARD","FLL035980","DELRAY BEACH","FL","12000080001","4293.29","Other Management Practice","","","","4293.29","Class A"
"HARVARD STP, CITY OF","ILL020117","HARVARD","IL","17000671001","154.91","Land Application","154.91","","","","Class B"
"SECAUCUS TOWN OF","NJL025038","SECAUCUS","NJ","34001398001","419.68","Land Application","419.68","","","","Class A"
"UPPER SAUCON TWP. WWTP","PAL053147","CENTER VALLEY","PA","42001229001","207.67","Incineration","","","207.67","",""
"PORTSMOUTH-PIERCE CITY OF","NHL100234","PORTSMOUTH","NH","33000083001","901","Other Management Practice","","","","901","Not Applicable"
"CORNING (C)","NYL025721","CORNING","NY","36008079001","128.49","Surface Disposal","","128.49","","","Class B"
"HARTFORD CITY WWTP","INL021628","HARTFORD CITY","IN","18004092002","175","Other Management Practice","","","","175","Not Applicable"
"BURLINGAME WWTF","CAL037788","BURLINGAME","CA","06002011001","515.86","Land Application","515.86","","","","Class B"
"CITY OF BUENA VISTA","VAL020991","BUENA VISTA","VA","51000276001","30.14","Other Management Practice","","","","30.14","Not Applicable"
"GLASTONBURY WPCF","CTL100226","GLASTONBURY","CT","09000540001","637","Other Management Practice","","","","637","Not Applicable"
"NEW BEDFORD W W T F","MAL100781","NEW BEDFORD","MA","25000040001","5409","Other Management Practice","","","","5409","Class B"
"WEST ALIQUIPPA SEWAGE TREATMEN","PAL025968","ALIQUIPPA","PA","42005011001","0","Surface Disposal","","","","","Class B"
"THE WATER WORKS & SEWER BOARD OF THE CITY OF GADSDEN","ALL022659","GADSDEN","AL","01000067002","258.55","Land Application","258.55","","","","Class B"
"BOONVILLE MUNICIPAL WWTP","INL022420","BOONVILLE","IN","18000876001","1469","Other Management Practice","","","","1469","Not Applicable"
"MINOA (V)","NYL025461","MINOA","NY","36007157001","47.5","Land Application","47.5","","","","Class A"
"PHILLIPSBURG TOWN STP","NJL024716","PHILLIPSBURG","NJ","34008357001","615.07","Other Management Practice","","","","615.07","Not Applicable"
"LOMPOC RWRP","CAL048127","LOMPOC","CA","06003050001","0","Other Management Practice","","","","","Class B"
"BRATTLEBORO WASTEWATER TREATMENT FACILITY","VTL100064","BRATTLEBORO","VT","50000013001","295.31","Other Management Practice","","","","295.31","Class B"
"TOWN OF SOUTH KINGSTOWN","RIL100374","WAKEFIELD","RI","44000024001","674.95","Other Management Practice","","","","674.95","Not Applicable"
"JERSEYVILLE STP, CITY OF","ILL024465","JERSEYVILLE","IL","17000601002","134.47","Other Management Practice","","","","134.47","Class B"
"HARNETT COUNTY","NCL021636","LILLINGTON","NC","37004306001","825","Other Management Practice","","","","825","Class B"
"WATER WORKS & SEWER BOARD OF THE CITY OF GADSDEN","ALL053201","GADSDEN","AL","01000067001","290.84","Land Application","290.84","","","","Class B"
"NORWICH WPCF","CTL100412","NORWICH","CT","09001040001","295","Other Management Practice","","","","295","Not Applicable"
"JACKSONVILLE SEWER COMMISSION","ARL041335","JACKSONVILLE","AR","05000010005","3563","Other Management Practice","","","","3563","Not Applicable"
"HAINES CITY WWTP","FLL012977","HAINES CITY","FL","12000162001","602.5","Land Application","602.5","","","","Class B"
"SOUTH HARNETT REGIONAL WWTP","NCL088366","SPRING LAKE","NC","37004308001","704","Other Management Practice","","","","704","Class B"
"LAUREL POTW, NUMBER 2","MSL020176","LAUREL","MS","28000655002","250.37","Land Application","250.37","","","","Class B"
"CITY OF WARRENSBURG","MOL055905","WARRENSBURG","MO","29001027001","104.2","Land Application","","","","","Class A"
"KINGSTON (C)","NYL029351","KINGSTON","NY","36003129001","373","Other Management Practice","","","","373","Class B"
"GRASS VALLEY WWTP","CAL079898","GRASS VALLEY","CA","06005198001","304.05","Land Application","304.05","","","","Class B"
"PORT TOWNSEND STP","WAL037052","PORT TOWNSEND","WA","53001005001","208.74","Land Application","208.74","","","","Class A EQ"
"MCPHERSON, CITY OF","KSL036196","MCPHERSON","KS","20000511001","113","Land Application","113","","","","Class B"
"CENTRALIA STP","WAL020982","CENTRALIA","WA","53000180001","65","Other Management Practice","","","","1097","Class A EQ"
"GLOVERSVILLE-JOHNSTOWN JOINT W","NYL026042","JOHNSTOWN","NY","36005031001","3433","Other Management Practice","","","","3433","Not Applicable"
"MATTAWOMAN WWTP","MDL021865","CHARLES COUNTY","MD","24000042001","5033.04","Land Application","5033.04","","","","Class B"
"SNOQUALMIE WWTP AND RECLAIM FACILITY","WAL022403","SNOQUALMIE","WA","53001185001","187","Land Application","187","","","","Class B"
"CITY OF EXCELSIOR SPRINGS","MOL028843","EXCELSIOR SPRINGS","MO","29001156001","21.2","Land Application","21.2","","","","Class B"
"CORTLAND (C)","NYL027561","CORTLAND","NY","36007090001","621","Other Management Practice","","","","621","Class B"
